17839,noun,outer bark of the cork oak; used for stoppers for bottles etc.,پوست بیرونی بلوط چوب پنبه ؛ برای درب های بطری و غیره استفاده می شود ,1
17848,noun,a female bartender,یک متصدی خانم بار ,1
17938,noun,a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons),یک کاسک بزرگ (مخصوصاً یكی كه حجمی معادل 2 سر گراز یا 126 گالن دارد) ,1
18838,verb,"emit light; be bright, as of the sun or a light; ""The sun shone bright that day""; ""The fire beamed on their faces""","تابش نور، چه نور خورشید یا نور دیگری. ""آن روز خورشید روشن درخشید""؛ ""آتش به صورتهای شان تابیده میشد"" ",1
18839,verb,guide with a beacon,راهنمایی کردن با چراغ راهنما ,1
18840,verb,"take somebody somewhere; ""We lead him to our chief""; ""can you take me to the main entrance?""; ""He conducted us to the palace""","کسی را به جایی ببر ""ما او را به سمت رئیس خود سوق می دهیم""؛ ""آیا می توانید من را به ورودی اصلی ببرید؟""؛ ""او ما را به قصر هدایت کرد"" ",1
18841,noun,a fire (usually on a hill or tower) that can be seen from a distance,آتش سوزیی (معمولاً روی تپه یا برج) که از دور دیده می شود ,1
18842,noun,a signal that involves visual communication,سیگنالی که شامل ارتباط تصویری است ,1
18843,noun,a fire set as a signal,آتشی که به عنوان سیگنال گذاشته شده است ,1
18844,noun,a radio station that broadcasts a directional signal for navigational purposes,یک ایستگاه رادیویی که یک سیگنال جهت دار را برای اهداف ناوبری پخش می کند ,1
18845,noun,station for the production and transmission of radio broadcasts,ایستگاه تولید و انتقال پخش رادیویی ,0
18846,noun,a tower with a light that gives warning of shoals to passing ships,برجی که با نور به کشتی هایی که عبور میکنند اخطار می دهد ,1
18847,noun,a great lighthouse (500 feet high) built at Alexandria in 285 BC,یک فانوس دریایی عالی (500 فوت ارتفاع) که در اسکندریه در سال 285 قبل از میلاد ساخته شده است ,1
17939,noun,a large cask especially one holding 63 gals,یک کاسک بزرگ مخصوصاً یكی كه 63 گالن در آن نگهداری می شود ,1
18848,verb,"form into beads, as of water or sweat, for example",به عنوان مثال به صورت مهره ، مانند آب یا عرق در بیایید ,1
18849,verb,"assume a form or shape; ""the water formed little beads""","یک فرم یا شکل را در نظر بگیرید ""آب دانه های کوچکی تشکیل داد"" ",1
18850,verb,string together like beads,رشته ای کنار هم مانند مهره ها ,1
18851,noun,a small ball with a hole through the middle,یک توپ کوچک با یک سوراخ در وسط ,1
18852,noun,a tubular glass or plastic bead sewn onto clothing for decoration,یک مهره لوله ای شیشه ای یا  پلاستیکی برای تزئین روی لباس دوخته شده است ,1
